clock,ready,max_count[0],max_count[1],max_count[2],max_count[3],max_count[4],max_count[5],max_count[6],max_count[7],max_count[8],max_count[9],max_count[10],max_count[11],max_count[12],max_count[13],max_count[14],max_count[15],tx_start,reset,start_count,counter[0],counter[1],counter[2],counter[3],counter[4],counter[5],counter[6],counter[7],counter[8],counter[9],counter[10],counter[11],counter[12],counter[13],counter[14],counter[15],tx_ack,start_count_del,[1]clock,[1]ready,[1]max_count[0],[1]max_count[1],[1]max_count[2],[1]max_count[3],[1]max_count[4],[1]max_count[5],[1]max_count[6],[1]max_count[7],[1]max_count[8],[1]max_count[9],[1]max_count[10],[1]max_count[11],[1]max_count[12],[1]max_count[13],[1]max_count[14],[1]max_count[15],[1]tx_start,[1]reset,[1]start_count,[1]counter[0],[1]counter[1],[1]counter[2],[1]counter[3],[1]counter[4],[1]counter[5],[1]counter[6],[1]counter[7],[1]counter[8],[1]counter[9],[1]counter[10],[1]counter[11],[1]counter[12],[1]counter[13],[1]counter[14],[1]counter[15],[1]tx_ack,[1]start_count_del,[2]clock,[2]ready,[2]max_count[0],[2]max_count[1],[2]max_count[2],[2]max_count[3],[2]max_count[4],[2]max_count[5],[2]max_count[6],[2]max_count[7],[2]max_count[8],[2]max_count[9],[2]max_count[10],[2]max_count[11],[2]max_count[12],[2]max_count[13],[2]max_count[14],[2]max_count[15],[2]tx_start,[2]reset,[2]start_count,[2]counter[0],[2]counter[1],[2]counter[2],[2]counter[3],[2]counter[4],[2]counter[5],[2]counter[6],[2]counter[7],[2]counter[8],[2]counter[9],[2]counter[10],[2]counter[11],[2]counter[12],[2]counter[13],[2]counter[14],[2]counter[15],[2]tx_ack,[2]start_count_del,[3]clock,[3]ready,[3]max_count[0],[3]max_count[1],[3]max_count[2],[3]max_count[3],[3]max_count[4],[3]max_count[5],[3]max_count[6],[3]max_count[7],[3]max_count[8],[3]max_count[9],[3]max_count[10],[3]max_count[11],[3]max_count[12],[3]max_count[13],[3]max_count[14],[3]max_count[15],[3]tx_start,[3]reset,[3]start_count,[3]counter[0],[3]counter[1],[3]counter[2],[3]counter[3],[3]counter[4],[3]counter[5],[3]counter[6],[3]counter[7],[3]counter[8],[3]counter[9],[3]counter[10],[3]counter[11],[3]counter[12],[3]counter[13],[3]counter[14],[3]counter[15],[3]tx_ack,[3]start_count_del
0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1
0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1
